"first","last","username","password","school"
"John","Smith","John_Smith@kb.com","","Bellevue High School"
"Jane","Doe3","Jane_Doe16@kb.com","Kbooks14","Perfection Learning School"
"Missed","login","pw02","Perfection Learning School"
"Mike","Lee3","Mike_Lee16@kb.com","Kbooks14","Perfection Learning School"
"Missed","School","1234"
"Johe","Smith","John_Smith65@kb.com","Kbooks14","Perfection Learning School"
"Johe","Smith","John_Smith76@kb.com","Kbooks14","Perfection Learning School"
"Johe","Smith","John_Smith77@kb.com","Kbooks14","Perfection Learning School"
"Johe","Smith","John_Smith78@kb.com","Kbooks14","Perfection Learning School"
"Johe","Smith","John_Smith79@kb.com","Kbooks14","Perfection Learning School"
