"first","last","login","ID","password","school","_class"
"John","Smith","John_Smith@kb.com","","","Bellevue High School",""
"Jane","Doe3","Jane_Doe16@kb.com","","Kbooks14","Perfection Learning School","A1 30 students"
"Missed","login","","pw02","Perfection Learning School","Algebra 101"
"Mike","Lee3","Mike_Lee16@kb.com","","Kbooks14","Perfection Learning School","A1 30 students"
"Missed","School","1234","","Algebra 101"
"Johe","Smith","John_Smith65@kb.com","","Kbooks14","Perfection Learning School","A1 30 students"
"Johe","Smith","John_Smith76@kb.com","","Kbooks14","Perfection Learning School","A2 30 students"
"Johe","Smith","John_Smith77@kb.com","","Kbooks14","Perfection Learning School","A1 30 students"
"Johe","Smith","John_Smith78@kb.com","","Kbooks14","Perfection Learning School","A1 30 students"
"Johe","Smith","John_Smith79@kb.com","","Kbooks14","Perfection Learning School","A1 30 students"
